Date,Name,Year,Letterboxd URI
2025-01-08,Dracula,1931,https://boxd.it/2b34
2025-01-10,American History X,1998,https://boxd.it/2bdo
2025-01-12,Network,1976,https://boxd.it/1VqG
2025-01-12,Serpico,1973,https://boxd.it/1ZjE
2025-01-12,Before the Devil Knows You're Dead,2007,https://boxd.it/20Jy
2025-01-13,Four Days in September,1997,https://boxd.it/1Cd4
2025-01-16,Nostalgia,1983,https://boxd.it/28Qi
2025-01-16,The Sacrifice,1986,https://boxd.it/1xg8
2025-01-18,Cinema Paradiso,1988,https://boxd.it/1UlA
2025-01-19,"Love, Rosie",2014,https://boxd.it/62hE
2025-01-19,A Room with a View,1986,https://boxd.it/1UfC
2025-01-19,27 Dresses,2008,https://boxd.it/21x4
2025-01-19,Wild Child,2008,https://boxd.it/1P0C
2025-01-19,Andrei Rublev,1966,https://boxd.it/29lg
2025-01-19,Stranger Than Paradise,1984,https://boxd.it/2ajU
2025-01-25,Knives Out,2019,https://boxd.it/jWEA
2025-01-31,Brokeback Mountain,2005,https://boxd.it/2b2q
2025-02-10,Looper,2012,https://boxd.it/ham
2025-02-12,Cry_Wolf,2005,https://boxd.it/1X6S
2025-02-12,Seven Samurai,1954,https://boxd.it/2axi
2025-02-12,Black Mirror: USS Callister,2017,https://boxd.it/hQXi
2025-02-12,Black Mirror: Playtest,2016,https://boxd.it/hRR6
2025-02-12,Black Mirror: Hated in the Nation,2016,https://boxd.it/hSBI
2025-02-12,Ikiru,1952,https://boxd.it/251c
2025-02-12,Ran,1985,https://boxd.it/1Tlu
2025-02-14,The Apprentice,2024,https://boxd.it/IPqG
2025-02-16,Wild Strawberries,1957,https://boxd.it/29ZU
2025-02-17,Kwaidan,1964,https://boxd.it/1kbY
2025-02-17,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape
2025-02-17,Life Is Beautiful,1997,https://boxd.it/29Wm
2025-02-17,The Deer Hunter,1978,https://boxd.it/1T6O
2025-02-21,The Gorge,2025,https://boxd.it/zRqK
2025-02-21,Training Day,2001,https://boxd.it/27A4
2025-02-21,The Tragedy of Macbeth,2021,https://boxd.it/lMi4
2025-02-23,How to Make Millions Before Grandma Dies,2024,https://boxd.it/FLa4
2025-02-26,No Other Land,2024,https://boxd.it/KOTG
2025-02-26,Memoir of a Snail,2024,https://boxd.it/EgX8
2025-03-05,Oddity,2024,https://boxd.it/K9pg
2025-03-10,Big World,2024,https://boxd.it/MKSS
2025-03-24,Under the Silver Lake,2018,https://boxd.it/dSAs
2025-03-24,Marrowbone,2017,https://boxd.it/dZVC
2025-04-28,Remember Me,2010,https://boxd.it/1zyI
2025-04-28,Who Am I,2014,https://boxd.it/8ND2
2025-05-03,L'Avventura,1960,https://boxd.it/23hs
2025-05-07,Phenomenon,1996,https://boxd.it/1Z2I
2025-05-19,Final Destination 3,2006,https://boxd.it/1Z40
2025-05-20,Two Prosecutors,2025,https://boxd.it/LTvG
2025-05-20,Sound of Falling,2025,https://boxd.it/Km9K
2025-05-22,Grounded II: Making The Last of Us Part II,2024,https://boxd.it/KIge
2025-06-10,Wind River,2017,https://boxd.it/dR3i
2025-06-10,The Phoenician Scheme,2025,https://boxd.it/H0Ca
2025-06-14,Dear Zachary: A Letter to a Son About His Father,2008,https://boxd.it/1LW8
2025-06-19,Close,2022,https://boxd.it/y4qa
2025-06-21,The Secret in Their Eyes,2009,https://boxd.it/1vWw
2025-06-26,Untitled James Bond Film,,https://boxd.it/IWkK
2025-06-29,"Snoopy, Come Home",1972,https://boxd.it/1MA8
2025-06-30,Dìdi (弟弟),2024,https://boxd.it/HQOW
2025-06-30,The Poughkeepsie Tapes,2007,https://boxd.it/162y
2025-06-30,The Coffee Table,2022,https://boxd.it/DY2e
2025-06-30,Days of Being Wild,1990,https://boxd.it/1HbC
2025-06-30,Drive My Car,2021,https://boxd.it/sv94
2025-07-02,The Irishman,2019,https://boxd.it/dYOq
2025-07-02,Raging Bull,1980,https://boxd.it/28yI
2025-07-04,Sympathy for Mr. Vengeance,2002,https://boxd.it/23WU
2025-07-04,Lady Vengeance,2005,https://boxd.it/248G
